OOC,TON,AIM,statute,OOC_new
none,river,seek damages,rivers and harbors act,conservation
none,flora,stop removal of species from endangered list,esa,conservation
nonlicensed fisherman's right to economic relief,water,dismiss economic recovery claims,"cwa, cwa",conservation
norbeck wildlife project,forest%fauna,challenge project approval,"nepa, nfma",conservation
northeast yaak project,forest,challenge project,"nfma, esa, nepa",conservation
northern long-eared bat,fauna,protect species,esa,conservation
northern right whale,fauna,stop ship operations,esa,conservation
obtaining and transporting wildlife,fauna,prove fault%protect wildlife,lacey act,conservation
occupancy of native lands,open space,recover compensation,"mla, national park service organic act",conservation
ocean harvest rates,fauna,challenge agency rules,magnuson-stevens act,conservation
ocotillo wind energy facility,desert,stop construction,esa,conservation
off-road vehicle use,land,challenge action,"flpma, national park service organic act, wilderness act",conservation
offshore data collection tower,ocean,stop construction,nepa,conservation
oil and gas lease permits,fauna%open space,stop extraction and leasing,"flpma, nepa",conservation
oil shale research management plans,fauna%flora,protect endangered species,esa,conservation
open space,open space,stop construction,nepa,conservation
operation of federal projects on a river,river%fauna,reconsider past motion,"esa, cwa",conservation
order to stop wolf kill program,fauna,challenge halting of order,nepa,conservation
order wetland rehabilitation,wetland,establish cwa violation,cwa,conservation
otero county resolution number 05-23-11/99-50,forest%flora,challenge resolution,"nepa, esa, nfma, cwa, multiple-use sustained-yield act",conservation
otter relocation plan,fauna,reinstate otter relocation plan,"esa, mmpa",conservation
overfishing,fauna,challenge a decision,magnuson-stevens act,conservation
overfishing,ag-fauna,enforce regulation,magnuson-stevens act,conservation
overgrazing,fauna,protect habitat,esa,conservation
overnight lookout rental,forest%creek,reduce risk of root rot,"nepa, nfma",conservation
oysters,ag-fauna,press charges,lacey act,conservation
ozone,clean air,stop pollution,"nepa, flpma",conservation
ozone,clean air,uphold regulations,caa,conservation
pacific and caribbean area,ocean%charismatic fauna,stop take or import marine mammals,mmpa,conservation
pacific halibut%commerce formal rule,ocean%fauna,challenge rule,magnuson-stevens act,conservation
packer permits,forest,redress statutory violations,"wilderness act, nepa",conservation
padre island,land%special-nature%island,stop regulation,"energy policy act, national park service organic act",conservation
palila,fauna,recover costs,esa,conservation
palila habitat,fauna,protect habitat,esa,conservation
pamlico sound river%bridge construction,river,review construction,nepa,conservation
parasailing ban,ocean,change court order,"mmpa, esa",conservation
parcels of land,open land,challenge land designation,fpa,conservation
park management plan,marsh%forest,stop off road vehicle use,"wilderness act, nepa, national park service organic act, esa",conservation
parking structure,open space,stop construction,nepa,conservation
pcb contamination of real property,land%toxic waste,establish responsibility for contamination,"rcra, tsca",conservation
pejepscot project,fauna,enforce regulation,"esa, cwa",conservation
penalties for activities with shrimp fishery,ag-fauna%marine ecosystem,challenge penalties,"magnuson-stevens act, esa",conservation
penalties for violating the clean water act,river,challenge agency action,cwa,conservation
penobscot river%fishing rights,river,establish jurisdiction,fpa,conservation
perform periodic dredging at lake montauk harbor,lake%river,recover costs,"rivers and harbors act, czma",conservation
permit allowing marine organization to take orcas,charismatic fauna,stop permit,"nepa, mmpa",conservation
permit condition,fauna,challenge regulation,none,conservation
permit entailing construction of wetlands,wetlands,enforce permit,cwa,conservation
permit for activity with respect to ferry,water,require permit,rivers and harbors act,conservation
permit for helicopter flights over national forest,forest,stop helicopter flights,"nepa, wilderness act",conservation
permit for roads,wetlands,stop construction,"cwa, nepa",conservation
permit to build docks,waterway,seek permit,"esa, mmpa",conservation
permit to dredge and fill,ocean,allow construction,"rivers and harbors act, fwca",conservation
permit to open river channel%boat access%residential property,river,prevent construction,rivers and harbors act,conservation
permit to take eagles,fauna%charismatic fauna,take eagles,"fish and wildlife act, mbta",conservation
permits for the entrada del oro project,water%fauna%land,stop issuance of permit,"esa, cwa",conservation
pesticide relaease,fauna,violations of esa,"esa, fifra",conservation
pesticide use,ag-flora%fauna,strengthen regulation,"esa, fifra",conservation
pesticide%biological opinion,fauna,allow sale,"esa, fifra",conservation
petition for esa protection,fauna,protect endangered squirrel species,esa,conservation
petition to remove fishes from endangered species list,fauna%water,challenge denial of petition,esa,conservation
pets,fauna,enforce contract,none,conservation
pharmaceutical containing spermaceti,fauna,stop regulation,esa,conservation
pickett snake and pickett charge timber sales,flora,stop sales of timber,"flpma, nepa",conservation
pier management,coast,establish liability,rivers and harbors act,conservation
piers,marina,revoke permit,"rivers and harbors act, nepa",conservation
pilot whale,charismatic fuana,defend evidence,mmpa,conservation
pine trees,forest%flora%fauna,stop cutting down pine trees,"nepa, esa",conservation
pipeline connecting canals,canal,stop intervenors,"nepa, rivers and harbors act",conservation
pipeline construction%eis,oil,stop project,"nepa, cwa, rivers and harbors act",conservation
placement of riprap,land%water%other environmental,stop placement of riprap,nepa,conservation
placing dredge in a creek,creek%wetlands%river,motion to dismiss from defendant%determine liability,cwa,conservation
plan to combat disease and beetle infestation,fauna%flora%forest,challenge forest management plan,"nepa, energy policy act",conservation
"plant growth product ""cepha""",flora,stop sale,fifra,conservation
planting of alfalfa and hay seed,ag-flora,stop project,nepa,conservation
plum island,island%ocean%fauna%flora,stop the sale of an island,"nepa, esa, czma, flpma",conservation
poaching,charismatic fauna,foia request,esa,conservation
poaching,charismatic fauna,defend ruling,none,conservation
polar bear,fauna,motion to intervene,"esa, nepa, mmpa",conservation
polar bear esa classification,charismatic fauna,force department action,"esa, mmpa, nepa",conservation
polar bear listing,fauna,enforce requirement of regulations,"nepa, esa, mmpa",conservation
polar bears,fauna,stop hunting,"esa, mmpa",conservation
pollutants on property and river bank,river%river bank%hydrocarbon resinous material%pollution,determine liability,ffdca,conservation
pollution control infrastructure,river%flora%fauna%toxic waste disposal,stop construction,nepa,conservation
poorly functioning water and septic systems,property,recover damages,none,conservation
port,ocean,stop construction,"cwa, rivers and harbors act, nepa",conservation
possession of bird,fauna,convict defendant for criminal charges,mbta,conservation
possible esa violation,forest,stop agency action,esa,conservation
post office,open space,prevent construction,nepa,conservation
potential factory,waste%clean air%clean water,prevent construction,nepa,conservation
pr 191 highway,forest,stop construction,"nepa, esa",conservation
preparation of environmental impact statement,open space%other-environmental,violation of nepa,nepa,conservation
prevent potentially damaging community development,clean air,protect clean air,caa,conservation
prevent road from going through refuge,wildlife,stop construction,nepa,conservation
prior decision regarding biological opinion,other-environmental,reverse decision,esa,conservation
private permit,forest,stop project,nepa,conservation
private permit,forest,challenge departmental action,"esa, nepa, nfma",conservation
private permit,forest,restrict department,wilderness act,conservation
private property,property%coastline,clarify property rights,"cwa, rivers and harbors act",conservation
private property%endangered species habitat,fauna%open space,allow development,esa,conservation
privately held exotic animals,charismatic fauna,protect animals,esa,conservation
